"gender","fedchamb_flag","interject","n","date"
"male",1,0,11,2020-12-02
NA,0,0,60,2020-12-02
NA,0,1,18,2020-12-02
NA,1,0,5,2020-12-02
"female",0,0,38,2020-12-01
"female",0,1,4,2020-12-01
"female",1,0,13,2020-12-01
"male",0,0,96,2020-12-01
"male",0,1,16,2020-12-01
"male",1,0,19,2020-12-01
NA,0,0,47,2020-12-01
NA,0,1,11,2020-12-01
NA,1,0,13,2020-12-01
NA,1,1,2,2020-12-01
"female",0,0,35,2020-11-30
"female",0,1,4,2020-11-30
"female",1,0,34,2020-11-30
"female",1,1,3,2020-11-30
"male",0,0,102,2020-11-30
"male",0,1,12,2020-11-30
"male",1,0,71,2020-11-30
"male",1,1,7,2020-11-30
NA,0,0,65,2020-11-30
NA,0,1,8,2020-11-30
NA,1,0,21,2020-11-30
NA,1,1,3,2020-11-30
"female",0,0,32,2020-11-12
"female",0,1,2,2020-11-12
"female",1,0,12,2020-11-12
"female",1,1,1,2020-11-12
"male",0,0,108,2020-11-12
"male",0,1,16,2020-11-12
"male",1,0,31,2020-11-12
"male",1,1,6,2020-11-12
NA,0,0,67,2020-11-12
NA,0,1,15,2020-11-12
NA,1,0,12,2020-11-12
NA,1,1,2,2020-11-12
"female",0,0,23,2020-11-11
"female",0,1,3,2020-11-11
"female",1,0,26,2020-11-11
"male",0,0,119,2020-11-11
"male",0,1,15,2020-11-11
"male",1,0,51,2020-11-11
"male",1,1,2,2020-11-11
NA,0,0,62,2020-11-11
NA,0,1,8,2020-11-11
NA,1,0,22,2020-11-11
NA,1,1,3,2020-11-11
"female",0,0,31,2020-11-10
"female",0,1,5,2020-11-10
"female",1,0,25,2020-11-10
"female",1,1,2,2020-11-10
"male",0,0,110,2020-11-10
"male",0,1,6,2020-11-10
"male",1,0,37,2020-11-10
"male",1,1,4,2020-11-10
NA,0,0,54,2020-11-10
NA,0,1,6,2020-11-10
NA,1,0,15,2020-11-10
NA,1,1,3,2020-11-10
"female",0,0,47,2020-11-09
"female",0,1,2,2020-11-09
"female",1,0,49,2020-11-09
"female",1,1,2,2020-11-09
"male",0,0,125,2020-11-09
"male",0,1,24,2020-11-09
